latitude,longitude
18.456792,-69.951164
19.371887,-99.086624
15.478598,120.599741
37.99749,23.762728
33.580412,130.396361
37.005105,-89.176269
-34.891151,-56.187214
37.791927,-122.225906
43.076592,-89.412488
43.07295,-89.386694
43.4685,-89.744299
39.758968,-104.876305
41.890961,12.490069
42.331685,-83.047924
18.386932,-66.061127
52.50153,13.401851
40.697132,-73.931351
18.379998,-65.830948
47.610786,-122.331306
40.116748,-88.23927
-34.891151,-56.187214
47.610786,-122.331306
47.610786,-122.331306
40.717892,-74.067467
14.622869,-90.529068
14.67428,121.057495
10.482834,-66.962128
42.47031,-96.413949
33.60651,-88.650419
40.697132,-73.931351
33.60651,-88.650419
40.697132,-73.931351
41.241996,-82.615241
52.50153,13.401851
47.610786,-122.331306
42.479999,-96.413046
42.46634,-96.41405
25.720851,-80.277857
15.675051,120.331618
39.758968,-104.876305
45.511795,-122.675629
37.005105,-89.176269
40.697132,-73.931351
40.697132,-73.931351
40.697132,-73.931351
41.084195,-81.514059
39.758968,-104.876305
47.610786,-122.331306
47.610786,-122.331306
18.460791,-66.264884
18.386932,-66.061127
18.441963,-66.026316
42.3505,-71.105399
42.838355,-88.743224
40.697132,-73.931351
40.697132,-73.931351
40.697132,-73.931351
39.07859,-84.179414
48.139126,11.580186
42.263414,-83.665281
37.874043,-122.280022
48.139126,11.580186
37.874043,-122.280022
40.697132,-73.931351
44.04483,-123.072606
37.755363,-122.443352
37.874043,-122.280022
37.874043,-122.280022
37.755363,-122.443352
37.791927,-122.225906
39.334825,-77.431653
30.493919,-90.132512
47.610786,-122.331306
41.479561,-81.675461
38.10083,-122.254954
41.763325,-72.674069
40.697132,-73.931351
47.610786,-122.331306
50.11797,8.644191
47.36865,8.539182
40.697132,-73.931351
40.697132,-73.931351
40.697132,-73.931351
39.758968,-104.876305
42.455233,-76.475847
43.287052,-89.724361
42.47031,-96.413949
42.47031,-96.413949
42.47031,-96.413949
42.47031,-96.413949
32.222232,-110.925752
39.758968,-104.876305
40.101952,-88.227161
40.007581,-105.265942
31.530243,35.094162
14.596051,120.978666
41.890961,12.490069
40.007581,-105.265942
38.864281,-104.778412
40.007581,-105.265942
40.014986,-105.270546
41.479561,-81.675461
39.758968,-104.876305
47.610786,-122.331306
37.791927,-122.225906
38.019304,-122.134062
39.758968,-104.876305
47.610786,-122.331306
39.758968,-104.876305
18.386932,-66.061127
14.622869,-90.529068
42.331685,-83.047924
42.331685,-83.047924
37.874043,-122.280022
33.83651,-86.254749
41.18188,-73.191269
35.084319,-106.619781
39.53894,-76.348479
48.139126,11.580186
38.563122,-76.078063
37.755363,-122.443352
-23.550711,-46.633475
40.102408,-88.227159
40.697132,-73.931351
40.697132,-73.931351
41.842602,-87.681229
41.842602,-87.681229
40.697132,-73.931351
44.260288,-88.397455
44.268598,-88.42844
31.198056,29.919167
40.697132,-73.931351
33.766725,-118.192399
18.386932,-66.061127
45.783975,-108.505794
34.105245,-117.294124
34.097866,-118.407379
39.226835,-84.453309
45.511795,-122.675629
42.331685,-83.047924
38.908642,-77.015381
40.697132,-73.931351
40.697132,-73.931351
40.697132,-73.931351
40.697132,-73.931351
40.697132,-73.931351
28.538235,-81.377389
15.153002,120.591942
18.456792,-69.951164
-27.583246,-56.683334
40.697132,-73.931351
41.479561,-81.675461
37.93781,-122.342709
37.755363,-122.443352
-34.61768,-58.444435
33.888523,35.503513
40.85122,-90.864369
32.3575,-84.95623
14.622869,-90.529068
33.580412,130.396361
38.908642,-77.015381
47.610786,-122.331306
42.7375,-84.483779
42.455233,-76.475847
29.813822,-95.365295
15.185916,120.54187
40.697132,-73.931351
53.361675,-6.245485
40.697132,-73.931351
40.697132,-73.931351
46.731958,-117.162603
-30.034108,-51.217839
-34.61768,-58.444435
35.76625,-117.370674
35.76625,-117.370674
40.697132,-73.931351
